"자치구별(1)",자치구별(2),2022. 01,2022. 01,2022. 01,2022. 02,2022. 02,2022. 02,2022. 03,2022. 03,2022. 03,2022. 04,2022. 04,2022. 04,2022. 05,2022. 05,2022. 05,2022. 06,2022. 06,2022. 06,2022. 07,2022. 07,2022. 07,2022. 08,2022. 08,2022. 08,2022. 09,2022. 09,2022. 09,2022. 10,2022. 10,2022. 10,2022. 11,2022. 11,2022. 11,2022. 12,2022. 12,2022. 12,2022,2022,2022
"자치구별(1)",자치구별(2),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명)
"합계",소계,2874,18,3868,2176,16,2919,2187,12,2852,2847,23,3905,3030,19,4065,2748,16,3697,3021,23,4026,2734,19,3705,2965,21,3940,3137,15,4256,2906,14,3900,3073,25,4196,33698,221,45329
"합계",종로구,65,-,89,59,-,87,70,-,88,90,-,133,88,1,130,78,1,99,109,-,146,77,1,105,99,-,138,81,-,118,77,-,108,81,-,110,974,3,1351
"합계",중구,77,-,88,59,1,83,54,-,76,81,-,109,72,-,93,73,-,89,87,-,107,66,-,91,88,1,114,81,-,96,92,-,121,113,-,145,943,2,1212
"합계",용산구,87,-,113,70,1,92,59,-,78,67,1,76,87,-,117,82,2,118,96,-,128,91,2,121,80,3,112,116,1,144,84,-,103,95,1,128,1014,11,1330
"합계",성동구,96,1,128,71,-,89,57,-,81,89,3,111,96,-,119,54,-,71,90,2,116,78,-,99,73,-,96,84,-,108,75,1,93,85,1,111,948,8,1222
"합계",광진구,61,-,77,58,-,81,59,-,80,56,1,99,69,-,83,46,-,65,59,1,73,46,1,54,59,3,77,79,-,120,51,2,61,65,1,96,708,9,966
"합계",동대문구,154,1,178,85,-,97,94,-,109,116,1,131,151,-,193,110,-,141,139,3,162,112,2,134,128,1,169,147,1,182,127,-,145,171,3,202,1534,12,1843
"합계",중랑구,114,-,153,89,1,121,95,1,120,133,-,186,135,1,163,119,1,148,128,-,179,121,-,164,123,1,170,108,-,150,121,4,177,115,1,159,1401,10,1890
"합계",성북구,98,-,124,76,-,98,84,1,107,99,1,128,109,-,139,109,1,133,122,1,155,116,1,141,107,1,134,123,1,156,115,-,140,130,1,171,1288,8,1626
