"STDR_DE","EMD_ID","CNT","CNT_00H","CNT_01H","CNT_02H","CNT_03H","CNT_04H","CNT_05H","CNT_06H","CNT_07H","CNT_08H","CNT_09H","CNT_10H","CNT_11H","CNT_12H","CNT_13H","CNT_14H","CNT_15H","CNT_16H","CNT_17H","CNT_18H","CNT_19H","CNT_20H","CNT_21H","CNT_22H","CNT_23H"
"20240515","1115069","3377","9","0","0","0","7","40","57","70","112","169","216","202","241","258","273","236","266","254","178","176","181","163","222","47"
"20240515","1110056","3513","11","0","0","1","18","94","132","173","243","316","312","291","326","292","218","195","193","157","174","139","105","52","59","12"
"20240515","1110064","9036","17","11","13","40","102","132","201","305","491","598","610","679","975","1060","723","531","528","498","457","338","283","256","137","51"
"20240515","1111053","8242","17","3","1","6","69","174","212","335","546","600","636","602","681","640","561","549","560","491","338","380","257","266","218","100"
"20240515","1115070","6925","4","1","0","3","7","178","235","308","523","673","717","587","591","529","400","378","367","402","280","225","178","153","137","49"
"20240515","1116054","19689","29","7","3","2","26","481","488","770","1099","1386","1490","1480","1493","1442","1252","1226","1354","1279","1017","874","803","818","611","259"
"20240515","1116058","3063","42","5","0","1","13","20","52","67","83","97","115","103","144","191","219","256","196","243","205","194","214","307","180","116"
"20240515","1116064","28350","97","18","13","8","46","387","568","701","1094","1334","1556","1673","2038","2002","2120","2598","2995","1973","1645","1340","1410","1334","957","443"
"20240515","1116071","29484","45","3","13","5","48","282","452","609","933","1521","1474","1884","1877","2125","1937","2328","2224","2441","2247","1799","1733","1689","1330","485"
"20240515","1117052","2194","8","0","1","2","8","25","69","123","146","188","220","190","199","179","149","135","116","108","91","67","77","44","31","18"
"20240515","1117056","15908","60","4","1","21","223","539","354","504","715","855","943","900","867","941","1075","1216","1093","1160","979","864","864","804","596","330"
"20240515","1117070","4651","21","5","3","1","115","173","129","155","216","268","283","270","303","299","267","283","298","348","284","217","225","233","162","93"
"20240515","1118058","5560","2","0","0","0","5","87","138","233","332","431","552","852","816","595","397","201","217","183","167","123","88","59","50","32"
"20240515","1119063","12072","55","5","6","3","35","506","425","536","799","1048","1080","940","875","911","729","689","670","641","581","389","432","315","263","139"
"20240515","1119072","27566","17","7","5","2","42","1645","954","1364","2216","2467","2136","1797","1871","1931","1715","1520","1641","1529","1263","1047","891","666","554","286"
